没有 to_not_have
打扫 to_sweep
方便 convenient
离开 to_leave
你等 you
一会 a_little_while
会儿 a_moment
游戏 game
一直 straight
学习 to_study
做作 affected
作业 work
国教 state_religion
已经 already
回来 to_return
老了 to_get_old
感冒 cold
好了 okay
还没 not_yet
八十 eighty
十五 fifteen
半个 half
出差 to_go_away_somewhere_for_business_or_other_official_purposes
不爱 do_not
不住 incessantly
需要 to_need
父母 parents
总是 always
迟到 to_arrive_late
忘记 to_forget
有意 to_have_a_mind_to
干净 clean
是非 right_and_wrong
非常 extremely
开心 happy
特别 special
努力 to_make_an_effort
还有 to_still_have
说法 way_of_saying_something
日语 Japanese_language
一杯 good_result_in_divination_using_moon_blocks
淇淋 cream
汉堡 hamburger
小心 to_be_careful_of_something
只有 only
员工 personnel
多大 how_big
黄河 the_Yellow_River
多久 how_long
这些 these
西多 Short_for
多重 multiple
冬天 winter
一样 same
性格 personality
不一 varying
国文 language_of_one's_own_country
文化 culture
头发 hair_on_the_head
有点 somewhat
舒服 comfortable
所以 therefore
变得 to_become_something
几年 a_few_years
桌子 table
本书 this_book
好几 several
室友 roommate
下雨 to_rain
经理 manager
到了 in_the_end
三本 third_tier_of_universities
台湾 Taiwan
看见 to_see
点儿 dot
火车 fire_vehicle
可乐 funny
不能 cannot
一起 together
找工 to_look_for_work
新客 singkek
客户 client
会同 to_coordinate_jointly
同意 to_agree
今晚 tonight
电视 television
想开 to_think_about_the_good_aspects_of_something_and_be_optimistic
春节 spring
完了 to_finish
做完 to_finish
课文 lesson
事情 matter
果汁 fruit_juice
天开 to_become_bright
家里 home
么事 what
别说 to_say_nothing_of
别看 in_spite_of
别人 others
写作 to_write
中秋 mid
热闹 bustling
声调 tone
调更 to_swap_work_shifts_or_duties
高铁 high-speed_rail
聊天 to_chat
走路 to_walk
见面 to_meet
三百 Used_other_than_figuratively_or_idiomatically
三点 three_o'clock
八分 bafen_clerical_script
三分 to_be_divided_into_three_parts
一分 a_few
八点 eight_o'clock
十分 very
五十 fifty
一刻 short_time
我每 we
每天 every_day
重要 important
几十 dozens
演员 actor
国外 outside_the_country
套房 suite
百家 many_people
外国 foreign_country
国公 duke_of_a_feudal_state
参加 to_participate
加了 to_waste
大会 mass_meeting
文章 essay
上周 last_week
商场 shopping_centre
过日 to_live_one's_life
这儿 here
来吧 come_on
友的 friendly_address_to_a_stranger
做得 can_do
得很 very
过电 to_get_an_electric_shock
合同 contract
不上 to_not_go_up
以来 since
请坐 please_sit_down
新手 beginner
要好 on_friendly_terms
好好 all_out
下周 next_week
明年 next_year
过年 to_spend_the_Chinese_New_Year
应该 ought_to
白酒 baijiu
多少 how_many
热水 hot_water
打人 to_hit_someone
来看 to_view_it_from_the_angle_of_
三明 three_heavenly_bodies
明治 Meiji_era_of_Japanese_history
消息 message
一本 having_the_same_origin
礼物 gift
发给 to_issue
工资 wage
不懂 to_not_understand
文水 Wenshui
水平 horizontal
纽约 New_York
家公 father
十年 ten_years
我父 good_heavens
小米 hulled_grain_of_foxtail_millet
同事 coworker
蛋糕 cake
送礼 to_give_a_gift
她们 they
刚刚 just
半年 half_a_year
只要 as_long_as
只能 having_no_other_choice_but
身体 body
书包 schoolbag
姐姐 elder_sister
聪明 clever
银行 bank
哪个 which
真爱 true_love
天天 every_day
多方 many_ways
可爱 can_be_loved
做多 to_go_long
还好 not_bad
不错 correct
那么 so
难吃 has_a_bad_taste
牌子 brand
孩儿 child
新鲜 fresh
常常 frequently
起去 to_go_up
打球 to_play_a_ball_game
大家 everyone
后爸 stepfather
是我 I
服务 service
可是 however
快乐 happy
刚才 just
我等 we
算了 forget_it
一等 first
心地 heart
慢慢 slowly
伤心 sad
认真 meticulous
牙刷 toothbrush
一号 first_day_of_the_month
在下 I
周二 Tuesday
周五 Friday
从早 from_the_past_until_the_present
南京 Nanjing
东路 eastern_road
酒店 hotel
机场 airport
在来 customary
去年 last_year
图书 books
书馆 private_school​
以上 above
机票 airline_ticket
自己 self
买菜 to_shop_for_groceries
刷牙 to_brush_one
洗脸 to_wash_the_face
难懂 difficult_to_understand
汉语 Han_speech
难听 bad-sounding
种花 to_plant_flowers
难闻 bad_smell
难看 ugly
年中 middle_of_the_year
上书 to_submit_a_document_to_one's_superior_or_higher_authorities
一天 one_day
一上 all_of_a_sudden
周六 Saturday
一晚 one_night
上游 upper_reaches
从来 from_the_past_until_the_present
不给 to_be_insufficient
奇怪 odd
从不 never
不关 to_have_nothing_to_do_with_something
关心 to_be_concerned_about
听说 to_listen_and_speak
人从 retinue
文学 literature
产品 product
起来 to_rise_up
加班 to_work_overtime
海上 maritime
上大 Short_for
床上 on_the_bed
派对 party
多人 many_people
在地 local
会议 meeting
见客 to_welcome_guests
看看 to_glance_at
试试 to_try
走走 to_take_a_walk
所在 place
哪里 where
旁边 side
后面 rear
中间 middle
地上 on_the_ground
草地 lawn
了解 to_understand
讨厌 annoying
公共 public
担心 to_worry
希望 hope
好大 to_like_to_do_grandiose_things
车站 bus_station
然后 then
马上 at_once
经常 often
好用 easy_to_use
下门 Xiamen
介绍 to_introduce
叔叔 paternal_uncle
邮件 mail
报纸 newspaper
句子 sentence
说完 to_finish_speaking
一些 some
水果 fruit
会见 to_meet
见到 to_see
吃的 food
下课 to_finish_class
有的 some
你每 you
每年 every_year
每周 every_week
炒面 stir-fried_noodles
半月 half
半天 half_a_day
三条 Sanjō
茶叶 tea_leaf
台电 Taiwan_Power_Company
玫瑰 rugosa_rose
天工 work_of_nature
过多 excessive
国家 country
有多 more_than
这只 this
那条 Lái_Thiêu
第一 first
上第 first
第三 third
个中 in
这次 this_time
比赛 to_compete
第二 second
最近 recently
你妹 freaking
谢谢 thanks
川菜 Sichuan_cuisine
小猫 kitten
难过 difficult_to_get_by
这么 so
收到 to_receive
因为 because
四川 Sichuan
友好 friendly
多工 multiple
男孩 boy
生病 to_fall_ill
中饭 lunch
快要 about_to
下车 to_get_out_of_a_carriage_or_chariot
关门 to_close_the_door
最好 best
好的 okay
圣诞 birth_of_a_sage
有什 what_is_there
打算 to_plan
历史 history
都知 armpit
黑色 the_color_black
运动 to_exercise
么人 who
也不 neither
不见 to_not_see
西都 the_western_capital
楼下 downstairs
对上 to_bring_two_things_into_contact
在婚 in_a_marriage
婚礼 wedding
护照 passport
奶茶 milk_tea
茶吧 teahouse
经验 experience
不出 to_not_exceed
别过 next_time
过来 to_come_over
一边 one_side
音乐 music
边上 side
老家 one
妈的 shit
家小 wife_and_children
听话 to_listen_to_others_speak
离家 to_leave_home
离地 to_leave_the_ground
网上 on_the_Internet
明白 to_understand
他家 other_people
天真 naive
女人 woman
热情 enthusiastic
黄山 Huangshan
风景 scenery
最爱 most_loved
或者 or
披萨 pizza
寿司 sushi
杭州 Hangzhou
苏州 Suzhou
家人 one
海滩 beach
好意 good_intention
就像 to_be_just_like
明星 celebrity
是也 it_is
衬衫 shirt
午饭 lunch
买房 to_buy_a_house/an_apartment
分手 to_part
毕业 to_graduate
总统 president
白头 hoary_head
萝卜 radish
三次 Miyoshi
太一 The_very_beginning_and_reason_of_everything
办法 way_of_dealing_with_something
带手 small_gift_that_one_brings_with_oneself_when_visiting_family_or_friends
洗衣 to_do_the_laundry
开门 to_open_the_door
不同 to_be_different
起工 to_start_working
国内 in_the_country
跳舞 to_dance
五毛 Used_other_than_figuratively_or_idiomatically
十三 thirteen
第五 fifth
考试 test
